#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Nov 19 13:25:00 EST 2019,77,77,Assignment5Suite,AddEdgeTest0+ AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest1+ DelNodeTest0+ DelNodeTest1+ DelNodeTest2+ NumEdgeTest0+ NumNodeTest0+ NumNodeTest1+ , ,AddEdgeTest1- DelEdgeTest0- DelEdgeTest2- NumEdgeTest1- , ,
1,Tue Nov 19 17:51:19 EST 2019,72,-5,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest3- DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
2,Tue Nov 19 17:51:37 EST 2019,77,5,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3+ AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
3,Tue Nov 19 17:53:38 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
4,Tue Nov 19 17:55:44 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
5,Tue Nov 19 18:04:54 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
6,Tue Nov 19 18:06:17 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
7,Tue Nov 19 18:13:39 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
8,Tue Nov 19 18:15:46 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
9,Tue Nov 19 18:21:05 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
10,Tue Nov 19 18:34:16 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 NumEdgeTest1 , ,
